pilot_no,text,category,risk_level,memo
23,임차인이 중도 퇴거하는 경우 위약금으로 월세 1개월분을 지급한다.,,,
43,계약 갱신 시 월세는 10% 자동 인상된다.,,,
7,퇴거 시 정화조 청소비 명목으로 3만원을 정산한다.,,,
32,본 주택에는 채권최고액 1억2천만원의 근저당권이 설정되어 있음을 임차인이 확인한다.,,,
38,벽지·장판의 자연 변색 및 가구 자국 등 통상의 사용에 따른 손모는 원상복구 대상에서 제외한다.,,,
35,임대인과 임차인은 임차주택의 수리가 필요한 시설물 및 비용부담에 관하여 입주 전에 합의한다.,,,
24,임대인은 잔금일 이후 추가 대출을 받는 경우 임차인에게 사전 고지한다.,,,
14,입주 전 발견된 하자는 임대인이 잔금일 전까지 수리를 완료한다.,,,
21,겨울철 보일러 및 수도 동파 시 수리 비용은 임차인이 부담한다.,,,
15,고장 발생 시 모든 수리 비용은 임차인이 부담한다.,,,
6,전세권 설정 등기는 임대인과 별도 협의에 따른다.,,,
2,중개보수는 거래 가액의 일정 요율에 따라 임대인과 임차인이 각각 부담한다.,,,
50,임대인은 임차인의 전세보증금 반환보증 보험 가입에 필요한 절차에 적극 협조한다.,,,
29,임대인은 비상시 보관 중인 열쇠로 주택에 출입할 수 있다.,,,
39,본 주택의 선순위 보증금 현황은 중개대상물 확인·설명서 기재 내용으로 갈음한다.,,,
27,임차인의 원상복구 불이행 시 임대인은 보증금 전액을 몰취할 수 있다.,,,
33,월세 1회 연체 시 계약은 즉시 해지되며 임차인은 지체 없이 퇴거한다.,,,
26,관리비는 별도로 한다.,,,
22,하자 여부 확인을 위해 보증금 중 50만원은 퇴거 후 1주일 이내에 정산하여 반환한다.,,,
49,재계약 여부는 계약 만료 2개월 전 임대인의 통보에 따른다.,,,
37,임차인이 2년 이상 거주하는 경우 도배·장판에 관하여 원상회복의무가 없다.,,,
30,퇴거 시 도배 상태가 불량한 경우 도배 비용은 임차인이 부담한다.,,,
36,"임대인의 자금 사정에 따라 보증금 반환이 지연될 수 있으며, 임차인은 이에 대해 이의를 제기하지 않는다.",,,
11,중도 해지 시 임차인은 중개보수를 부담한다.,,,
20,"당사자 일방이 채무를 이행하지 아니하는 때에는 상대방은 상당한 기간을 정하여 그 이행을 최고하고 계약을 해제할 수 있으며, 그로 인한 손해배상을 청구할 수 있다.",,,
25,임대인은 잔금 납부와 동시에 해당 부동산의 담보대출을 전액 상환하고 근저당권을 말소한다.,,,
17,계약 해지 통보는 내용증명 우편으로만 효력이 있다.,,,
3,공용 부분 수리비 및 건물 노후 시설 교체비는 임차인들이 세대별로 분담한다.,,,
31,벽에 부착물 설치 시 퇴거 시 원상복구를 조건으로 허용한다.,,,
16,임대인의 채무로 주택이 경매되는 경우에도 임차인은 임대인에게 손해배상을 청구하지 않는다.,,,
9,계약 만료 3개월 전까지 갱신 의사를 통보하지 않으면 계약은 만료일에 종료된 것으로 본다.,,,
4,"임차인의 고의·과실에 기한 파손과 전구 등 통상의 간단한 수선, 소모품 교체 비용은 임차인이 부담한다.",,,
13,퇴실 시 임차인은 원상복구비로 200만원을 지급한다.,,,
34,임차인은 임대인의 세금 체납 여부를 확인하지 않기로 하며 이후 이를 문제 삼지 않는다.,,,
48,"누수, 결로 등 건물 하자로 인한 수리는 임대인이 지체 없이 시행한다.",,,
45,본 계약은 등기부상 권리 하자가 발견되더라도 유효하게 존속한다.,,,
28,관리비에는 공용 관리 항목이 포함되며 세부 내역은 건물 관리 규정에 따른다.,,,
46,본 계약서에 명시되지 않은 사항은 임대인이 정하는 바에 따른다.,,,
41,"하자 발생 시 임차인은 임대인에게 즉시 통지하여야 하며, 통지 지연으로 확대된 손해는 임차인이 부담한다.",,,
18,퇴거 시 관리비 정산 내역은 영수증 등 증빙과 함께 임차인에게 제공한다.,,,
5,장판 및 벽지 훼손 시 임차인은 원상복구하거나 상응하는 비용을 지급한다.,,,
44,임대인은 계약 종료일에 보증금 전액을 임차인이 지정한 계좌로 반환한다.,,,
19,임대인은 특별한 사정이 없는 한 계약 만료일에 보증금을 반환한다.,,,
47,"임대인이 요구하는 경우 임차인은 제소전화해 조서 작성에 협조하며, 그 비용은 임차인이 부담한다.",,,
40,보증금은 퇴거 후 관리비 등 정산이 완료되는 대로 반환한다.,,,
1,임차인이 계약 조건을 위반하는 경우 임대인은 통보 없이 즉시 계약을 해지할 수 있다.,,,
42,"곰팡이, 결로 발생 시 임차인의 환기 소홀로 보아 임차인이 제거 및 도배 비용을 부담한다.",,,
12,임차인은 이웃에 피해를 주지 않도록 심야 시간 소음 발생에 주의한다.,,,
10,"계약 존속 중 발생하는 수리 및 비용부담에 관하여 합의되지 아니한 기타 수선비용의 부담은 민법, 판례 기타 관습에 따른다.",,,
8,"20만원 미만의 수리는 임차인이 부담하되, 반복 발생 시 임대인과 협의한다.",,,
