uid,text,category,risk_level,source_type,origin_id
1,"임대인은 임차주택을 임대차 목적대로 사용·수익할 수 있는 상태로 임차인에게 인도하고, 임대차기간은 인도일로부터 2년으로 한다.",termination_renewal,safe,seed,1
2,임대인과 임차인은 임차주택의 수리가 필요한 시설물 및 비용부담에 관하여 입주 전에 합의한다.,repair_defect,safe,seed,2
3,"임차인은 임대인의 동의 없이 임차주택의 구조변경 및 전대나 임차권 양도를 할 수 없으며, 임대차 목적인 주거 이외의 용도로 사용할 수 없다.",etc,safe,seed,3
4,임대인은 계약 존속 중 임차주택을 사용·수익에 필요한 상태로 유지하여야 한다.,repair_defect,safe,seed,4
5,임차인이 임대인의 부담에 속하는 수선비용을 지출한 때에는 임대인에게 그 상환을 청구할 수 있다.,repair_defect,safe,seed,7
6,"난방, 상·하수도, 전기시설 등 임차주택의 주요설비에 대한 노후·불량으로 인한 수선은 임대인이 부담한다.",repair_defect,safe,seed,8
7,"임차인이 임대인에게 중도금(중도금이 없을 때는 잔금)을 지급하기 전까지, 임대인은 계약금의 배액을 상환하고 임차인은 계약금을 포기하고 이 계약을 해제할 수 있다.",termination_renewal,safe,seed,10
8,임차인은 본인의 과실 없이 임차주택의 일부가 멸실 기타 사유로 인하여 임대차의 목적대로 사용할 수 없는 경우에는 계약을 해지할 수 있다.,termination_renewal,safe,seed,12
9,임대인은 임차인이 2기의 차임액에 달하도록 연체하거나 임대인 동의 없는 구조변경·전대를 한 경우 계약을 해지할 수 있다.,termination_renewal,safe,seed,13
10,임대인은 자신 또는 그 직계존속·직계비속의 실거주 등 주택임대차보호법 제6조의3 제1항 각 호의 사유가 있는 경우에 한하여 계약갱신의 요구를 거절할 수 있다.,termination_renewal,safe,seed,15
11,"임대차계약이 종료된 경우에 임차인은 임차주택을 원래의 상태로 복구하여 임대인에게 반환하고, 이와 동시에 임대인은 보증금을 임차인에게 반환하여야 한다.",deposit_return,safe,seed,17
12,시설물의 노후화나 통상 생길 수 있는 파손 등은 임차인의 원상복구의무에 포함되지 아니한다.,restoration,safe,seed,18
13,임차인은 계약종료 시 공과금과 관리비를 정산하여야 한다.,fees_utilities,safe,seed,19
14,임차인은 이미 납부한 관리비 중 장기수선충당금을 임대인에게 반환 청구할 수 있다.,fees_utilities,safe,seed,20
